Date time,Home (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2021-08-01T01:00:00-07:00,40.9,15.6,48.5,4.8,0.1
2021-08-02T01:00:00-07:00,57.3,20.0,66.5,0.2,0.2
2021-08-03T01:00:00-07:00,44.1,21.3,54.1,0.2,4.7
2021-08-04T01:00:00-07:00,62.3,20.7,68.9,0.2,2.5
2021-08-05T01:00:00-07:00,49.4,21.3,55.6,0.1,0.1
2021-08-06T01:00:00-07:00,53.1,35.4,38.3,0.3,0.2
2021-08-07T01:00:00-07:00,21.7,8.4,35.1,0.6,0.2
2021-08-08T01:00:00-07:00,26.4,10.0,66.3,0.1,26.0
2021-08-09T01:00:00-07:00,37.5,13.4,65.3,0.1,26.0
2021-08-10T01:00:00-07:00,34.5,16.1,68.0,0.1,35.3
2021-08-11T01:00:00-07:00,49.7,25.9,68.3,0.3,19.3
2021-08-12T01:00:00-07:00,46.2,23.1,60.0,0.2,11.0
2021-08-13T01:00:00-07:00,61.6,29.3,51.5,0.4,0.3
2021-08-14T01:00:00-07:00,50.3,19.1,50.0,0.2,0.2
2021-08-15T01:00:00-07:00,44.5,17.2,51.3,5.2,0.2
2021-08-16T01:00:00-07:00,28.6,12.6,16.4,5.2,0.2
2021-08-17T01:00:00-07:00,28.2,10.7,32.5,4.4,0.1
2021-08-18T01:00:00-07:00,41.1,18.7,53.3,0.2,0.6
2021-08-19T01:00:00-07:00,57.0,22.5,62.2,0.2,6.9
2021-08-20T01:00:00-07:00,26.2,13.3,24.8,0.2,0.2
2021-08-21T01:00:00-07:00,24.9,11.5,34.2,0.2,0.2
2021-08-22T01:00:00-07:00,15.3,7.7,23.8,0.2,0.1
2021-08-23T01:00:00-07:00,40.0,11.7,60.4,0.1,12.9
2021-08-24T01:00:00-07:00,27.8,8.2,66.3,0.1,37.1
2021-08-25T01:00:00-07:00,20.7,9.5,47.3,0.1,23.3
2021-08-26T01:00:00-07:00,20.9,12.1,33.2,0.1,14.2
2021-08-27T01:00:00-07:00,32.1,19.3,34.1,0.2,4.0
2021-08-28T01:00:00-07:00,47.3,23.9,66.2,0.2,23.7
2021-08-29T01:00:00-07:00,43.4,17.4,65.1,0.2,11.6
2021-08-30T01:00:00-07:00,23.1,12.6,19.0,0.2,0.2
2021-08-31T01:00:00-07:00,22.4,7.9,36.1,0.2,0.2
