Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2022-05-01T01:00:00-07:00,23.8,54.4,9.1,0.1,-32.3
2022-05-02T01:00:00-07:00,14.1,23.0,6.9,0.2,-5.3
2022-05-03T01:00:00-07:00,21.1,21.4,7.9,0.2,-0.2
2022-05-04T01:00:00-07:00,18.7,53.6,5.3,0.1,-30.8
2022-05-05T01:00:00-07:00,15.6,18.3,6.8,0.2,-1.2
2022-05-06T01:00:00-07:00,20.2,27.7,8.0,0.2,-6.9
2022-05-07T01:00:00-07:00,28.2,40.2,14.0,0.2,-13.5
2022-05-08T01:00:00-07:00,24.6,61.1,8.9,0.2,-31.9
2022-05-09T01:00:00-07:00,16.8,60.4,7.3,0.2,-40.4
2022-05-10T01:00:00-07:00,15.2,64.8,7.0,0.1,-47.7
2022-05-11T01:00:00-07:00,23.9,67.6,8.9,0.2,-44.0
2022-05-12T01:00:00-07:00,16.6,25.0,7.3,0.2,-3.6
2022-05-13T01:00:00-07:00,21.5,65.5,7.5,0.2,-43.4
2022-05-14T01:00:00-07:00,13.1,56.4,5.2,0.1,-39.4
2022-05-15T01:00:00-07:00,28.0,17.9,22.0,0.2,-0.9
2022-05-16T01:00:00-07:00,34.3,71.4,10.2,0.2,-22.3
2022-05-17T01:00:00-07:00,32.2,46.5,8.3,0.2,-11.7
2022-05-18T01:00:00-07:00,11.2,68.5,5.0,0.2,-55.0
2022-05-19T01:00:00-07:00,10.7,64.5,4.1,0.1,-52.5
2022-05-20T01:00:00-07:00,15.3,47.0,6.9,0.1,-33.2
2022-05-21T01:00:00-07:00,40.5,76.4,14.7,0.2,-40.6
2022-05-22T01:00:00-07:00,32.9,69.3,11.6,0.2,-32.2
2022-05-23T01:00:00-07:00,28.0,57.4,10.9,0.2,-25.4
2022-05-24T01:00:00-07:00,17.5,31.1,9.9,0.2,-11.7
2022-05-25T01:00:00-07:00,34.1,69.5,10.4,0.1,-31.4
2022-05-26T01:00:00-07:00,14.6,33.5,6.3,0.1,-17.5
2022-05-27T01:00:00-07:00,12.0,67.7,3.9,0.1,-52.6
2022-05-28T01:00:00-07:00,9.4,30.3,4.1,0.1,-20.0
2022-05-29T01:00:00-07:00,9.3,15.8,4.8,0.1,-5.9
2022-05-30T01:00:00-07:00,9.5,47.0,4.2,0.1,-35.8
2022-05-31T01:00:00-07:00,9.8,73.1,4.0,0.1,-61.9
