Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2022-12-01T01:00:00-08:00,35.3,14.0,8.0,22.5,-0.1
2022-12-02T01:00:00-08:00,33.2,6.3,1.3,27.8,0
2022-12-03T01:00:00-08:00,29.8,16.3,7.0,14.7,-0.1
2022-12-04T01:00:00-08:00,25.8,2.5,0,23.8,0
2022-12-05T01:00:00-08:00,25.4,5.9,1.6,20.6,0
2022-12-06T01:00:00-08:00,42.9,6.9,1.9,37.1,0
2022-12-07T01:00:00-08:00,17.5,8.6,4.2,10.2,-0.1
2022-12-08T01:00:00-08:00,28.1,6.4,2.1,22.6,0
2022-12-09T01:00:00-08:00,35.4,6.4,1.0,30.0,-0.1
2022-12-10T01:00:00-08:00,23.1,2.9,0,21.0,0
2022-12-11T01:00:00-08:00,29.0,2.4,0,27.3,0
2022-12-12T01:00:00-08:00,20.7,5.4,2.1,16.5,0
2022-12-13T01:00:00-08:00,17.4,2.9,0,15.1,0
2022-12-14T01:00:00-08:00,25.9,11.0,5.5,16.2,-0.1
2022-12-15T01:00:00-08:00,30.1,15.1,5.9,16.2,-0.1
2022-12-16T01:00:00-08:00,32.7,19.4,12.3,15.2,-0.1
2022-12-17T01:00:00-08:00,35.1,2.5,0.3,33.2,0
2022-12-18T01:00:00-08:00,34.0,8.3,2.7,26.7,0
2022-12-19T01:00:00-08:00,34.9,1.8,0,47.5,0
2022-12-20T01:00:00-08:00,36.9,0.1,12.0,24.9,0
2022-12-21T01:00:00-08:00,50.3,0.8,0,50.3,0
2022-12-22T01:00:00-08:00,71.4,0.2,0,85.7,0
2022-12-23T01:00:00-08:00,43.6,0,13.8,37.7,-0.1
2022-12-24T01:00:00-08:00,33.7,1.7,0,32.1,0
2022-12-25T01:00:00-08:00,47.2,4.3,0,43.7,0
2022-12-26T01:00:00-08:00,36.0,3.6,0.6,33.2,0
2022-12-27T01:00:00-08:00,14.2,2.8,0.7,20.3,0
2022-12-28T01:00:00-08:00,24.0,9.2,14.3,9.5,-0.2
2022-12-29T01:00:00-08:00,23.7,4.4,1.3,19.7,0
2022-12-30T01:00:00-08:00,39.5,4.4,1.4,35.9,0
2022-12-31T01:00:00-08:00,57.6,4.5,0,54.0,0
