Date time,Home (kWh),Vehicle (kWh),From Powerwall (kWh),Solar Energy (kWh),From Grid (kWh),To Grid (kWh)
2025-03-01T00:00:00-08:00,58.6,0.0,27.0,31.0,17.5,0.0
2025-03-02T00:00:00-08:00,30.0,0.0,4.5,13.7,18.6,0.0
2025-03-03T00:00:00-08:00,55.4,0.0,6.0,13.6,43.3,0.0
2025-03-04T00:00:00-08:00,30.3,0.0,1.3,9.3,22.1,0.0
2025-03-05T00:00:00-08:00,33.8,0.0,14.3,40.5,10.3,0.1
2025-03-06T00:00:00-08:00,35.6,0.0,24.7,28.9,0.1,0.0
2025-03-07T00:00:00-08:00,43.6,0.0,17.7,27.0,14.2,0.0
2025-03-08T00:00:00-08:00,72.4,0.0,0.4,6.5,66.4,0.0
2025-03-09T00:00:00-08:00,37.6,0.0,2.9,13.8,25.3,0.0
2025-03-10T00:00:00-07:00,28.7,0.0,6.8,16.2,14.2,0.0
2025-03-11T00:00:00-07:00,37.2,0.0,10.7,18.4,20.6,0.0
2025-03-12T00:00:00-07:00,32.2,0.0,6.1,12.8,20.9,0.0
2025-03-13T00:00:00-07:00,31.8,0.0,9.7,33.3,15.1,0.0
2025-03-14T00:00:00-07:00,39.2,0.0,27.9,28.6,5.3,0.0
2025-03-15T00:00:00-07:00,35.2,0.0,13.2,23.9,11.1,0.0
2025-03-16T00:00:00-07:00,28.3,0.0,9.7,27.7,4.9,0.0
2025-03-17T00:00:00-07:00,23.0,0.0,16.4,26.8,1.3,0.0
2025-03-18T00:00:00-07:00,59.6,0.0,18.4,40.0,15.9,0.0
2025-03-19T00:00:00-07:00,28.1,0.0,4.7,14.6,13.6,0.0
2025-03-20T00:00:00-07:00,41.7,0.0,4.6,12.3,30.8,0.0
2025-03-21T00:00:00-07:00,31.8,0.0,12.6,26.8,13.1,0.0
2025-03-22T00:00:00-07:00,32.5,0.0,19.8,36.8,1.6,0.0
2025-03-23T00:00:00-07:00,43.6,0.0,9.2,8.6,27.5,0.0
2025-03-24T00:00:00-07:00,11.3,0.0,2.8,9.7,4.3,0.0
2025-03-25T00:00:00-07:00,11.4,0.0,3.4,45.1,2.5,5.6
2025-03-26T00:00:00-07:00,13.1,0.0,7.2,27.0,0.0,13.5
2025-03-27T00:00:00-07:00,11.4,0.0,6.4,23.9,0.0,10.3
2025-03-28T00:00:00-07:00,71.4,0.0,34.8,22.3,27.8,3.5
2025-03-29T00:00:00-07:00,25.2,3.2,4.4,34.8,8.6,0.0
2025-03-30T00:00:00-07:00,27.3,0.6,12.2,41.8,0.0,1.7
2025-03-31T00:00:00-07:00,30.3,17.0,33.7,37.2,0.1,10.1
