Date time,Home (kWh),Solar Energy (kWh),From Powerwall (kWh),From Grid (kWh),To Grid (kWh)
2021-08-01T01:00:00-07:00,40.9,48.5,15.6,4.8,-0.1
2021-08-02T01:00:00-07:00,57.3,66.5,20.0,0.2,-0.2
2021-08-03T01:00:00-07:00,44.1,54.1,21.3,0.2,-4.7
2021-08-04T01:00:00-07:00,62.3,68.9,20.7,0.2,-2.5
2021-08-05T01:00:00-07:00,49.4,55.6,21.3,0.1,-0.1
2021-08-06T01:00:00-07:00,53.1,38.3,35.4,0.3,-0.2
2021-08-07T01:00:00-07:00,21.7,35.1,8.4,0.6,-0.2
2021-08-08T01:00:00-07:00,26.4,66.3,10.0,0.1,-26.0
2021-08-09T01:00:00-07:00,37.5,65.3,13.4,0.1,-26.0
2021-08-10T01:00:00-07:00,34.5,68.0,16.1,0.1,-35.3
2021-08-11T01:00:00-07:00,49.7,68.3,25.9,0.3,-19.3
2021-08-12T01:00:00-07:00,46.2,60.0,23.1,0.2,-11.0
2021-08-13T01:00:00-07:00,61.6,51.5,29.3,0.4,-0.3
2021-08-14T01:00:00-07:00,50.3,50.0,19.1,0.2,-0.2
2021-08-15T01:00:00-07:00,44.5,51.3,17.2,5.2,-0.2
2021-08-16T01:00:00-07:00,28.6,16.4,12.6,5.2,-0.2
2021-08-17T01:00:00-07:00,28.2,32.5,10.7,4.4,-0.1
2021-08-18T01:00:00-07:00,41.1,53.3,18.7,0.2,-0.6
2021-08-19T01:00:00-07:00,57.0,62.2,22.5,0.2,-6.9
2021-08-20T01:00:00-07:00,26.2,24.8,13.3,0.2,-0.2
2021-08-21T01:00:00-07:00,24.9,34.2,11.5,0.2,-0.2
2021-08-22T01:00:00-07:00,15.3,23.8,7.7,0.2,-0.1
2021-08-23T01:00:00-07:00,40.0,60.4,11.7,0.1,-12.9
2021-08-24T01:00:00-07:00,27.8,66.3,8.2,0.1,-37.1
2021-08-25T01:00:00-07:00,20.7,47.3,9.5,0.1,-23.3
2021-08-26T01:00:00-07:00,20.9,33.2,12.1,0.1,-14.2
2021-08-27T01:00:00-07:00,32.1,34.1,19.3,0.2,-4.0
2021-08-28T01:00:00-07:00,47.3,66.2,23.9,0.2,-23.7
2021-08-29T01:00:00-07:00,43.4,65.1,17.4,0.2,-11.6
2021-08-30T01:00:00-07:00,23.1,19.0,12.6,0.2,-0.2
2021-08-31T01:00:00-07:00,22.4,36.1,7.9,0.2,-0.2
